date,open,high,low,close,volume
2026-07-20,4.295000076293945,4.343999862670898,4.289000034332275,4.328000068664551,0
2026-07-21,4.324999809265137,4.375,4.322999954223633,4.369999885559082,0
2026-07-22,4.380000114440918,4.414000034332275,4.373000144958496,4.4070000648498535,0
2026-07-23,4.449999809265137,4.473999977111816,4.447000026702881,4.460999965667725,0
2026-07-24,4.435999870300293,4.445000171661377,4.4019999504089355,4.426000118255615,0
2026-07-27,4.4019999504089355,4.420000076293945,4.386000156402588,4.396999835968018,0
2026-07-28,4.388999938964844,4.388999938964844,4.340000152587891,4.361000061035156,0
2026-07-29,4.40500020980835,4.422999858856201,4.3470001220703125,4.3520002365112305,0
2026-07-30,4.388999938964844,4.4029998779296875,4.359000205993652,4.375,0
2026-07-31,4.40500020980835,4.460000038146973,4.4029998779296875,4.460000038146973,0
2026-08-03,4.381999969482422,4.416999816894531,4.381999969482422,4.400000095367432,0
2026-08-04,4.375,4.375,4.323999881744385,4.333000183105469,0
2026-08-05,4.326000213623047,4.35699987411499,4.318999767303467,4.323999881744385,0
2026-08-06,4.3480000495910645,4.395999908447266,4.3470001220703125,4.388999938964844,0
2026-08-07,4.373000144958496,4.383999824523926,4.303999900817871,4.361999988555908,0
2026-08-10,4.375,4.409999847412109,4.375,4.40500020980835,0
2026-08-11,4.395999908447266,4.4070000648498535,4.36899995803833,4.385000228881836,0
2026-08-12,4.361000061035156,4.390999794006348,4.335999965667725,4.375,0
2026-08-13,4.353000164031982,4.355000019073486,4.288000106811523,4.313000202178955,0
2026-08-14,4.303999900817871,4.368000030517578,4.2829999923706055,4.361999988555908,0
2026-08-17,4.360000133514404,4.382999897003174,4.353000164031982,4.375999927520752,0
2026-08-18,4.380000114440918,4.39900016784668,4.360000133514404,4.367000102996826,0
2026-08-19,4.343999862670898,4.377999782562256,4.317999839782715,4.353000164031982,0
2026-08-20,4.389999866485596,4.401000022888184,4.373000144958496,4.38700008392334,0
